,station,lat,lon,time,weather,weatherfont,weathersymbol,weathercolour,temperature,pressure,sl_pressure,dewpoint,windspeed,winddir,visibility,visual_range,cloudcover,pressure3h_change,rain,wwletter
2802,ETIK,49.4739,10.3881,2024-05-28 11:55:00,,,,,17.0,30.12,3961.9908386290017,5.9,10.0,290.0,10000.0,99999,,0.0,0,111600291010170205033014961951000600007000080000
2807,LICT,37.9114,12.488,2024-05-28 11:55:00,,,,,27.0,1016.0,1048.3630305596166,9.0,10.0,260.0,10000.0,99999,,0.0,0,1116002610102702090301604048351000600007000080000
2808,LIBA,41.5414,15.7181,2024-05-28 11:55:00,,,,,26.0,1013.0,1268.7281618780717,14.0,13.0,90.0,10000.0,99999,,0.0,0,11160009131026020140301304268751000600007000080000
2810,LIBV,40.7678,16.9333,2024-05-28 11:55:00,95.0,36.0,2,red,24.0,1014.0,3185.4881255050423,12.0,8.0,160.0,7000.0,99999,,0.0,0,11140016081024020120301404185451000600007950080000
2812,LIED,39.3542,8.97248,2024-05-28 11:55:00,,,,,31.0,1014.0,1128.369434171421,4.0,7.0,330.0,10000.0,99999,,0.0,0,1116003307103102040301404128351000600007000080000
2813,LIMN,45.5296,8.66922,2024-05-28 11:55:00,,,,,23.0,1015.0,2040.6900334778582,16.0,4.0,210.0,10000.0,99999,,0.0,0,11160021041023020160301504040651000600007000080000
2814,LIMS,44.9131,9.72333,2024-05-28 11:55:00,,,,,23.0,1014.0,1789.942170244212,19.0,3.0,80.0,10000.0,99999,,0.0,0,11160008031023020190301404789951000600007000080000
2815,LIPA,46.0319,12.5965,2024-05-28 11:55:00,,,,,19.0,1014.0,1865.9730484175657,14.0,2.0,320.0,10000.0,99999,,0.0,0,11160032021019020140301404865951000600007000080000
2816,LIPC,44.2242,12.3072,2024-05-28 11:55:00,,,,,23.0,1015.0,1042.2986039907798,17.0,10.0,340.0,10000.0,99999,,0.0,0,11160034101023020170301504042251000600007000080000
2817,LIPF,44.816,11.6134,2024-05-28 11:55:00,63.0,36.0,',green,20.0,1015.0,1049.9363186391372,20.0,3.0,200.0,1200.0,99999,,0.0,0,11100020031020020200301504049951000600007630080000
2818,LIPI,45.9787,13.0493,2024-05-28 11:55:00,,,,,23.0,1014.0,1298.3960238509208,17.0,5.0,260.0,10000.0,99999,,0.0,0,11160026051023020170301404298351000600007000080000
2819,LIPL,45.4322,10.2677,2024-05-28 11:55:00,,,,,23.0,1014.0,1564.6820986361226,17.0,5.0,140.0,10000.0,99999,,0.0,0,11160014051023020170301404564651000600007000080000
2820,LIPS,45.6849,12.0829,2024-05-28 11:55:00,,,,,22.0,1015.0,1240.5107562533321,16.0,3.0,60.0,10000.0,99999,,0.0,0,11160006031022020160301504240551000600007000080000
2822,LIQW,44.088,9.98795,2024-05-28 11:55:00,,,,,22.0,1014.0,1085.9247058343967,13.0,5.0,140.0,10000.0,99999,,0.0,0,11160014051022020130301404085951000600007000080000
2823,LIRE,41.6545,12.4452,2024-05-28 11:55:00,,,,,23.0,1015.0,1077.6273154542507,20.0,9.0,200.0,10000.0,99999,,0.0,0,11160020091023020200301504077651000600007000080000
2824,LIRG,41.9903,12.7408,2024-05-28 11:55:00,,,,,26.0,1015.0,1430.0260076761492,10.0,7.0,230.0,10000.0,99999,,0.0,0,11160023071026020100301504430051000600007000080000
2826,LIRS,42.7597,11.0719,2024-05-28 11:55:00,,,,,26.0,1014.0,1036.7634664003183,14.0,7.0,240.0,10000.0,99999,,0.0,0,11160024071026020140301404036751000600007000080000
2828,ETAR,49.4369,7.60028,2024-05-28 11:55:00,,,,,18.1,30.11,2904.167813522072,6.3,6.0,220.0,10000.0,99999,,0.0,0,111600220610181206133014904151000600007000080000
2829,LICZ,37.4017,14.9224,2024-05-28 11:55:00,,,,,25.0,1014.0,1125.9852963655549,7.0,18.0,90.0,10000.0,99999,,0.0,0,1116000918102502070301404125951000600007000080000
2830,LIRM,41.0608,14.0819,2024-05-28 11:55:00,,,,,25.0,1016.0,1056.6127649241637,19.0,12.0,270.0,10000.0,99999,,0.0,0,11160027121025020190301604056651000600007000080000
2853,LOAV,47.965,16.26,2024-05-28 12:00:00,,,,,22.0,99999.0,99999.0,15.0,10.0,310.0,10000.0,99999,,0.0,0,11160031101022020150399904999051000600007000080000
2856,LKKU,49.0294,17.4397,2024-05-28 12:00:00,,,,,25.0,1015.0,1940.8694364497262,10.0,5.0,230.0,10000.0,99999,,0.0,0,11160023051025020100301504940851000600007000080000
2857,LOAN,47.8433,16.2601,2024-05-28 12:00:00,,,,,99999.0,99999.0,99999.0,99999.0,14.0,320.0,10000.0,99999,,0.0,0,11160032141099999020999990399904999051000600007000080000
2869,LIRH,41.6464,13.2998,2024-05-28 11:55:00,,,,,25.0,1014.0,1014.0,12.0,3.0,190.0,10000.0,99999,,0.0,0,11160019031025020120301404014051000600007000080000
2871,LIRV,42.4302,12.0642,2024-05-28 11:55:00,,,,,24.0,1014.0,2783.4445522309015,11.0,7.0,240.0,10000.0,99999,,0.0,0,11160024071024020110301404783451000600007000080000
2886,LTAN,37.979,32.5619,2024-05-28 12:09:00,,,,,15.0,1014.0,11.776298697342401,13.0,6.0,350.0,10000.0,99999,,0.0,0,1116003506101502013030140411751000600007000080000
2892,LGNX,37.0811,25.3681,2024-05-28 11:50:00,,,,,24.0,1014.0,1028.4811595749945,15.0,9.0,350.0,10000.0,99999,,0.0,0,11160035091024020150301404028451000600007000080000
2895,LBPG,42.2904,24.714,2024-05-28 12:10:00,,,,,16.0,1014.0,1458.9531837046027,10.0,10.0,240.0,10000.0,99999,,0.0,0,11160024101016020100301404458951000600007000080000
2898,ETOU,50.0498,8.3254,2024-05-28 11:55:00,,,,,17.9,30.11,2083.6654937893586,6.7,7.0,250.0,10000.0,99999,,0.0,0,111600250710178206833014083651000600007000080000
2900,EVGA,56.7783,24.8539,2024-05-28 12:20:00,,,,,28.0,1018.0,1278.9775133694409,13.0,7.0,110.0,10000.0,99999,,0.0,0,11160011071028020130301804278951000600007000080000
2902,LATI,41.4147,19.7206,2024-05-28 12:20:00,17.0,36.0,2,red,25.0,1014.0,1194.9092095633578,17.0,8.0,290.0,10000.0,99999,,0.0,0,11160029081025020170301404194951000600007170080000
2903,LIRL,41.5424,12.909,2024-05-28 11:55:00,,,,,26.0,1015.0,1143.6530370273742,15.0,99999.0,,10000.0,99999,,0.0,0,11160036999991026020150301504143651000600007000080000
2904,LMML,35.8575,14.4775,2024-05-28 12:15:00,,,,,24.0,1016.0,1487.0172730034144,17.0,7.0,220.0,10000.0,99999,,0.0,0,11160022071024020170301604487051000600007000080000
2905,LWOH,41.18,20.7423,2024-05-28 12:20:00,,,,,20.0,1015.0,6632.6991466171585,10.0,7.0,190.0,10000.0,99999,,0.0,0,11160019071020020100301504632651000600007000080000
2906,LWSK,41.9616,21.6214,2024-05-28 12:20:00,,,,,26.0,1013.0,2244.1973121268275,14.0,8.0,30.0,10000.0,99999,,0.0,0,11160003081026020140301304244151000600007000080000
2911,LTAW,40.30743,36.36741,2024-05-28 12:02:00,95.0,36.0,2,red,22.0,1010.0,4912.296352585804,16.0,6.0,250.0,10000.0,99999,,0.0,0,11160025061022020160301004912251000600007950080000
2944,EYSA,55.8939,23.395,2024-05-28 12:20:00,,,,,26.0,1019.0,1679.4598653122384,9.0,8.0,120.0,10000.0,99999,,0.0,0,1116001208102602090301904679451000600007000080000
2949,EVVA,57.3578,21.5442,2024-05-28 12:20:00,,,,,28.0,1017.0,1040.6984098806188,6.0,5.0,180.0,10000.0,99999,,0.0,0,1116001805102802060301704040651000600007000080000
2963,LSZC,46.97444,8.39694,2024-05-28 12:20:00,,,,,17.0,1021.0,5152.933883297684,9.0,3.0,80.0,10000.0,99999,,0.0,0,1116000803101702090302104152951000600007000080000
2968,EYKA,54.9639,24.0848,2024-05-28 12:20:00,,,,,29.0,1018.0,1343.9927007536974,6.0,7.0,150.0,10000.0,99999,,0.0,0,1116001507102902060301804343951000600007000080000
2977,EKRS,55.4258,11.8067,2024-05-28 12:20:00,,,,,16.0,1013.0,1269.6413064708543,16.0,7.0,,10000.0,99999,,0.0,0,11160036071016020160301304269651000600007000080000
2987,LSMA,46.9439,8.28417,2024-05-28 12:20:00,,,,,16.0,1021.0,5390.203135945301,8.0,4.0,60.0,10000.0,99999,,0.0,0,1116000604101602080302104390251000600007000080000
2988,LSMD,47.3986,8.64823,2024-05-28 12:20:00,,,,,17.0,1021.0,5137.372748340241,7.0,2.0,,10000.0,99999,,0.0,0,1116003602101702070302104137351000600007000080000
2989,LSMM,46.7433,8.11,2024-05-28 12:20:00,,,,,17.0,1021.0,6454.142923432097,7.0,1.0,,10000.0,99999,,0.0,0,1116003601101702070302104454151000600007000080000
2990,LSMP,46.8432,6.91506,2024-05-28 12:20:00,,,,,19.0,1021.0,4642.302859285857,7.0,4.0,320.0,10000.0,99999,,0.0,0,1116003204101902070302104642351000600007000080000
3069,EGHC,50.1028,-5.67056,2024-05-28 12:20:00,45.0,36.0,N,yellow,14.0,1012.0,2177.913475225255,13.0,13.0,230.0,100.0,99999,,0.0,0,11100023131014020130301204177951000600007450080000
